epoch,time,tr_loss,tr_accu,vl_loss,vl_accu,model,tuning_version,dataname,vl_ratio,ts_ratio,shuffle,normalize,i_stt,i_end,X_length,y_length,y_offset,stride_length,criterion,metrics,optimizer,learning_rate,momentum,weight_decay,scheduler,idx,constant,epochs,on,patience,delta,verbose,T_0,T_mult,eta_max,T_up,gamma
79,52.5144136,0.027825306,0.580502717,0.373473015,0.597916667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
80,53.16371107,0.023648814,0.607336957,0.329318487,0.535416667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
81,53.81129026,0.016001337,0.582201087,0.334057335,0.536458333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
82,54.45940733,0.02022213,0.584918478,0.3693654,0.519791667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
83,55.1076467,0.020870287,0.597826087,0.34050122,0.555208333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
84,55.75187373,0.014572134,0.596807065,0.332680481,0.561458333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
85,56.39860106,0.0181861,0.591372283,0.341059005,0.529166667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
86,57.04468179,0.019365924,0.586277174,0.341887402,0.523958333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
87,57.68915963,0.015299065,0.590013587,0.370958923,0.511458333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
88,58.33745027,0.015157385,0.583559783,0.350545545,0.55,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
89,58.98497057,0.016516405,0.588315217,0.333174436,0.555208333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
90,59.6364131,0.012142245,0.588315217,0.362475589,0.514583333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
91,60.28176284,0.012881607,0.570652174,0.355716441,0.542708333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
92,60.92582631,0.009374973,0.581521739,0.392280254,0.509375,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
93,61.57045221,0.009703165,0.573369565,0.363305804,0.517708333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
94,62.21607113,0.016361568,0.586277174,0.407555755,0.498958333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
95,62.86144829,0.014718727,0.585258152,0.376366011,0.514583333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
96,63.50572896,0.013885969,0.591032609,0.356912147,0.5625,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
97,64.15125442,0.013323525,0.596807065,0.352267883,0.563541667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
98,64.79632998,0.014105607,0.589334239,0.429001884,0.496875,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
99,65.44182754,0.015168672,0.599524457,0.364580571,0.55,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
100,66.08709431,0.013560323,0.601222826,0.366509675,0.548958333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
101,66.73596048,0.014728717,0.594769022,0.384275864,0.526041667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
102,67.38324547,0.017271843,0.578464674,0.394201713,0.501041667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
103,68.02884245,0.015210076,0.591711957,0.379489558,0.517708333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
104,68.67230105,0.012370837,0.586956522,0.362217511,0.535416667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
105,69.31737614,0.012992081,0.600883152,0.42143789,0.515625,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
106,69.96246576,0.011436006,0.591711957,0.430012884,0.495833333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
107,70.60825872,0.010828154,0.592730978,0.366701861,0.520833333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
108,71.25284553,0.012095535,0.597146739,0.364265409,0.528125,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
109,71.89795732,0.010562827,0.588994565,0.372269014,0.520833333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
110,72.54530978,0.010892307,0.6015625,0.382808438,0.538541667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
111,73.18598199,0.012952046,0.616168478,0.37884452,0.55,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
112,73.83229685,0.010830845,0.603940217,0.533826953,0.502083333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
113,74.47700143,0.010524344,0.595108696,0.398388136,0.529166667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
114,75.12297726,0.009863051,0.626019022,0.387303309,0.563541667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
115,75.76938224,0.009531515,0.613111413,0.418126813,0.529166667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
116,76.41685414,0.012683551,0.606657609,0.404314623,0.544791667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
117,77.06315589,0.012904344,0.605638587,0.391584129,0.576041667,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
118,77.70905185,0.01063621,0.604279891,0.506033354,0.520833333,CNN_a,CNN_a,FordA,0.2,0.2,False,True,0,,32,32,0,32,BCEE,Correctness,Adam,0.0001,0.0,,500,,,,True,100,0,True,,,,,
